"Rule","Label"
"23","Pass all loopback IPv6"
"24","Block all IPv6"
"25","Default deny rule"
"26","Default deny rule"
"27","IPv6 RFC4890 requirements (ICMP)"
"28","IPv6 RFC4890 requirements (ICMP)"
"29","IPv6 RFC4890 requirements (ICMP)"
"30","IPv6 RFC4890 requirements (ICMP)"
"31","IPv6 RFC4890 requirements (ICMP)"
"32","IPv6 RFC4890 requirements (ICMP)"
"33","IPv6 RFC4890 requirements (ICMP)"
"34","IPv6 RFC4890 requirements (ICMP)"
"35","IPv6 RFC4890 requirements (ICMP)"
"36","IPv6 RFC4890 requirements (ICMP)"
"37","IPv6 RFC4890 requirements (ICMP)"
"38","IPv6 RFC4890 requirements (ICMP)"
"39","IPv6 RFC4890 requirements (ICMP)"
"40","IPv6 RFC4890 requirements (ICMP)"
"41","IPv6 RFC4890 requirements (ICMP)"
"42","IPv6 RFC4890 requirements (ICMP)"
"43","IPv6 RFC4890 requirements (ICMP)"
"44","IPv6 RFC4890 requirements (ICMP)"
"45","IPv6 RFC4890 requirements (ICMP)"
"46","IPv6 RFC4890 requirements (ICMP)"
"47","IPv6 RFC4890 requirements (ICMP)"
"48","IPv6 RFC4890 requirements (ICMP)"
"49","IPv6 RFC4890 requirements (ICMP)"
"50","IPv6 RFC4890 requirements (ICMP)"
"51","IPv6 RFC4890 requirements (ICMP)"
"52","IPv6 RFC4890 requirements (ICMP)"
"53","IPv6 RFC4890 requirements (ICMP)"
"54","IPv6 RFC4890 requirements (ICMP)"
"55","IPv6 RFC4890 requirements (ICMP)"
"56","IPv6 RFC4890 requirements (ICMP)"
"57","IPv6 RFC4890 requirements (ICMP)"
"58","IPv6 RFC4890 requirements (ICMP)"
"59","IPv6 RFC4890 requirements (ICMP)"
"60","IPv6 RFC4890 requirements (ICMP)"
"61","IPv6 RFC4890 requirements (ICMP)"
"62","IPv6 RFC4890 requirements (ICMP)"
"63","block all targetting port 0"
"64","block all targetting port 0"
"65","block all targetting port 0"
"66","block all targetting port 0"
"67","block all targetting port 0"
"68","block all targetting port 0"
"69","block all targetting port 0"
"70","block all targetting port 0"
"71","CARP defaults"
"72","CARP defaults"
"73","sshlockout"
"74","sshlockout"
"75","virusprot overload table"
"76","Block bogon IPv4 networks from WAN"
"77","Block private networks from WAN"
"78","Block private networks from WAN"
"79","Block private networks from WAN"
"80","Block private networks from WAN"
"81","Block private networks from WAN"
"82","Block private networks from WAN"
"83","allow access to DHCP server"
"84","allow access to DHCP server"
"85","allow access to DHCP server"
"86","allow access to DHCP server"
"87","allow access to DHCP server"
"88","allow access to DHCP server"
"89","allow access to DHCP server"
"90","allow access to DHCP server"
"91","allow access to DHCP server"
"92","allow access to DHCP server"
"93","allow access to DHCP server"
"94","allow access to DHCP server"
"95","allow access to DHCP server"
"96","allow access to DHCP server"
"97","allow access to DHCP server"
"98","allow access to DHCP server"
"99","allow access to DHCP server"
"100","allow access to DHCP server"
"101","allow access to DHCP server"
"102","allow access to DHCP server"
"103","allow access to DHCP server"
"104","allow access to DHCP server"
"105","allow access to DHCP server"
"106","allow access to DHCP server"
"107","allow access to DHCP server"
"108","allow access to DHCP server"
"109","allow access to DHCP server"
"110","pass loopback"
"111","let out anything from firewall host itself"
"112","anti-lockout rule"
"113","anti-lockout rule"
"114","anti-lockout rule"
"115","let out anything from firewall host itself (force gw)"
"116","let out anything from firewall host itself (force gw)"
"117","ALLOW: access DOCKER SWARM"
